scholarshipID,scholarshipDetailURL,Award Name,Organization,Purposes,Level Of Study,Award Type,Award Amount,Deadline
9993165,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993165,Pence Construction Diversity in Leadership Scholarship,Oregon Community Foundation - Portland,To support underrepresented students of color pursuing postsecondary education in construction engineering.,Bachelor's Degree  Vocational,Scholarship,N/A,March
9997696,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997696,Carpenters' Company Scholarship Program,Carpenters' Company of the City and County of Philadelphia,"To provide architecture, structural engineering, or construction management/engineering.",Bachelor's Degree,Scholarship,"$5,000",
9990581,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990581,PC Construction Scholarship,Vermont Student Assistance Corporation,To support a Vermont graduating senior pursuing a degree in construction management or civil/mechanical engineering.,Bachelor's Degree,Scholarship,"$2,500",February
9997326,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997326,"Maryland Building Industry Association, Eastern Shore Chapter","Community Foundation of the Eastern Shore, Inc.","To encourage and support Eastern Shore students who are pursuing careers in architecture, engineering, or a construction related study.",Bachelor's Degree  Vocational,Scholarship,$500,April
9992419,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992419,JMA Architecture Studios Scholarship,Public Education Foundation,"To provide financial assistance for tuition, fees and other appropriate educational expenses for seniors interested in pursuing a career in architecture and plan to enroll as a full-time student at a university with an accredited School of Architecture.",Bachelor's Degree,Scholarship,"$5,000",January
9993981,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993981,NAWIC Construction Trades Scholarship,National Association of Women in Construction,To support women pursuing construction-related degrees.,Bachelor's Degree  Vocational,Scholarship,N/A,February
9995235,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995235,William J. Tangye Scholarship,International Code Council,To provide financial assistance for children of ICC members intending to pursue higher education.,Bachelor's Degree,Scholarship,"$2,500",June
9998277,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998277,Association for Women in Architecture Scholarships,Association for Women in Architecture and Design,To advance and support the positions of women in architecture and allied fields.,Bachelor's Degree,Scholarship,N/A,
9995522,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995522,Dimitri J. Ververelli Memorial Scholarship for Architecture and/or,Hellenic University Club of Philadelphia,To provide educational support to a qualified student pursuing a degree in the field of Architecture or Engineering.,Bachelor's Degree,Scholarship,"$3,000",April
9996061,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996061,TowerPinkster Scholarship,Grand Rapids Community Foundation,To support students pursuing degrees in undergraduate level health service related fields.,Bachelor's Degree,Scholarship,N/A,March
