Award Name,Level Of Study,Award Type,Award Amount,Deadline
"Pence Construction Diversity in Leadership Scholarship
                                            


                                            Organization:
                                             Oregon Community Foundation - Portland 


                                            Purposes: To support underrepresented students of color pursuing postsecondary education in construction engineering.",Bachelor's Degree  Vocational,Scholarship,N/A,March
"Carpenters' Company Scholarship Program
                                            


                                            Organization:
                                             Carpenters' Company of the City and County of Philadelphia 


                                            Purposes: To provide architecture, structural engineering, or construction management/engineering.",Bachelor's Degree,Scholarship,"$5,000",
"PC Construction Scholarship
                                            


                                            Organization:
                                             Vermont Student Assistance Corporation 


                                            Purposes: To support a Vermont graduating senior pursuing a degree in construction management or civil/mechanical engineering.",Bachelor's Degree,Scholarship,"$2,500",February
"Maryland Building Industry Association, Eastern Shore Chapter
                                            


                                            Organization:
                                             Community Foundation of the Eastern Shore, Inc. 


                                            Purposes: To encourage and support Eastern Shore students who are pursuing careers in architecture, engineering, or a construction related study.",Bachelor's Degree  Vocational,Scholarship,$500,April
"JMA Architecture Studios Scholarship
                                            


                                            Organization:
                                             Public Education Foundation 


                                            Purposes: To provide financial assistance for tuition, fees and other appropriate educational expenses for seniors interested in pursuing a career in architecture and plan to enroll as a full-time student at a university with an accredited School of Architecture.",Bachelor's Degree,Scholarship,"$5,000",January
"ASCE Freeman Fellowship
                                            


                                            Organization:
                                             Architectural Engineering Institute of ASCE 


                                            Purposes: To recognize an individual for their contribution in hydraulic science and art.",Graduate Degree,Fellowship  Prize,"$2,000  $5,000",February
"NAWIC Construction Trades Scholarship
                                            


                                            Organization:
                                             National Association of Women in Construction 


                                            Purposes: To support women pursuing construction-related degrees.",Bachelor's Degree  Vocational,Scholarship,N/A,February
"William J. Tangye Scholarship
                                            


                                            Organization:
                                             International Code Council 


                                            Purposes: To provide financial assistance for children of ICC members intending to pursue higher education.",Bachelor's Degree,Scholarship,"$2,500",June
"CINTAS Foundation Fellowship in Architecture & Design
                                            


                                            Organization:
                                             Cintas Foundation 


                                            Purposes: To encourage the development of artists in architecture.",Professional Development,Fellowship,"$20,000",June
"Association for Women in Architecture Scholarships
                                            


                                            Organization:
                                             Association for Women in Architecture and Design 


                                            Purposes: To advance and support the positions of women in architecture and allied fields.",Bachelor's Degree,Scholarship,N/A,
"SOM Foundation Architecture, Design and Urban Design Prize
                                            


                                            Organization:
                                             Skidmore, Owings and Merrill Foundation 


                                            Purposes: To support faculty currently teaching at a professionally accredited bachelor’s degree, master’s degree.",Graduate Degree,Prize,N/A,
"Dimitri J. Ververelli Memorial Scholarship for Architecture and/or
                                            


                                            Organization:
                                             Hellenic University Club of Philadelphia 


                                            Purposes: To provide educational support to a qualified student pursuing a degree in the field of Architecture or Engineering.",Bachelor's Degree,Scholarship,"$3,000",April
"Beverly Willis Architecture Foundation Travel Fellowship
                                            


                                            Organization:
                                             Society of Architectural Historians 


                                            Purposes: To support travel expenses of a speaker whose paper has been accepted for delivery at the SAH annual conference.",Graduate Degree,Fellowship,N/A,
"TowerPinkster Scholarship
                                            


                                            Organization:
                                             Grand Rapids Community Foundation 


                                            Purposes: To support students pursuing degrees in undergraduate level health service related fields.",Bachelor's Degree,Scholarship,N/A,March
"Pardee Community Building Scholarship
                                            


                                            Organization:
                                             Public Education Foundation 


                                            Purposes: To assist students interested pursuing a degee in home building and community development.",Bachelor's Degree,Scholarship,"$1,500",
"ACI BASF Construction Chemicals Student Fellowship
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To support high-potential undergraduate and graduate students whose studies relate to concrete.",Bachelor's Degree  Graduate Degree,Fellowship,N/A,November
"Huber Engineered Woods Product Evaluation Scholarships
                                            


                                            Organization:
                                             Federal Alliance For Safe Homes 


                                            Purposes: To support graduate students seeking academic degrees that underpin disaster safety and mitigation, including construction, engineering, financial services, risk communication, social sciences and other related fields.",Graduate Degree,Scholarship,"$1,500",
"AISC/Rocky Mountain Steel Construction Association Scholarships
                                            


                                            Organization:
                                             American Institute of Steel Construction 


                                            Purposes: To provide financial assistance to those studying civil engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",May
"SOM Foundation Travel Fellowships in Architecture, Design and Urban
                                            


                                            Organization:
                                             Skidmore, Owings and Merrill Foundation 


                                            Purposes: To support students with the highest design aspirations and enable them, through research and travel, to broaden their horizons and achieve excellence in their professional or academic careers.",N/A,Fellowship,"$20,000",
"PCH Architects LLP - Steven J. Lehnhof Memorial Architectural
                                            


                                            Organization:
                                             Redlands Community Scholarship Foundation 


                                            Purposes: To support those who want to study architecture or architectural engineering at an accredited college or university.",Bachelor's Degree,Scholarship,"$1,000",February
"Enid W. and Bernard B. Spigel Architectural Scholarship
                                            


                                            Organization:
                                             Hampton Roads Community Foundation 


                                            Purposes: To provide financial support to qualified individuals who want to pursue their educational goals.",Graduate Degree,Scholarship,N/A,March
"Duluth Building and Construction Trades Council Scholarship Fund
                                            


                                            Organization:
                                             Duluth Superior Area Community Foundation 


                                            Purposes: To provide financial assistance to children of members of unions affiliated with the Duluth Building Trades Council.",Bachelor's Degree,Scholarship,"$2,500",January
"Herschede Engineering Scholarship
                                            


                                            Organization:
                                             The Sigma Chi Foundation 


                                            Purposes: To support benefit brothers pursuing a graduate degree in the field of engineering.",Graduate Degree,Scholarship,"$1,000",
